Bias (V)	ADC0-I (V) avg.	ADC0-I (V) [1]	ADC0-I (V) [2]	ADC0-I (V) [3]	ADC0-I (V) [4]	ADC0-I (V) [5]	
1.213400	0.011841	0.011902	0.011902	0.011902	0.011597	0.011902	
1.226740	0.012085	0.012207	0.012513	0.011902	0.011902	0.011902	
1.240070	0.012268	0.012513	0.012513	0.012207	0.012207	0.011902	
1.253400	0.012452	0.012513	0.012513	0.012513	0.012513	0.012207	
1.266740	0.012818	0.012818	0.012818	0.012818	0.013123	0.012513	
1.280070	0.013123	0.013123	0.013428	0.013123	0.013123	0.012818	
1.293400	0.013428	0.013428	0.013733	0.013428	0.013123	0.013428	
1.306740	0.013672	0.013733	0.014039	0.013733	0.013428	0.013428	
1.320070	0.013794	0.013733	0.014039	0.014039	0.013733	0.013428	
1.333400	0.014222	0.014039	0.014344	0.014344	0.014344	0.014039	
1.346730	0.014649	0.014344	0.014954	0.014649	0.014649	0.014649	
1.360070	0.014954	0.014649	0.015259	0.015259	0.014649	0.014954	
1.373400	0.015381	0.014954	0.015870	0.015870	0.015259	0.014954	
1.386730	0.015564	0.015259	0.015870	0.015870	0.015870	0.014954	
1.400070	0.015931	0.015870	0.016175	0.016175	0.016480	0.014954	
1.413400	0.016175	0.015870	0.016480	0.016175	0.016480	0.015870	
1.426730	0.016480	0.016480	0.016480	0.016175	0.016785	0.016480	
1.440070	0.017029	0.017090	0.017396	0.017090	0.017090	0.016480	
1.453400	0.017212	0.017396	0.017396	0.017396	0.017090	0.016785	
1.466730	0.017518	0.017701	0.018006	0.017396	0.017701	0.016785	
1.480070	0.017884	0.018006	0.018311	0.017701	0.018006	0.017396	
1.493400	0.018311	0.018311	0.018616	0.018311	0.018006	0.018311	
1.506730	0.018860	0.018922	0.019227	0.018922	0.018616	0.018616	
1.520060	0.019227	0.019532	0.019837	0.019227	0.018922	0.018616	
1.533400	0.019532	0.019532	0.019837	0.019837	0.019227	0.019227	
1.546730	0.020142	0.020142	0.020447	0.020142	0.020142	0.019837	
1.560060	0.020569	0.020447	0.020753	0.020753	0.020447	0.020447	
